시도,주차장명,주차장유형(노상_노외_부설),주소,위도,경도,관리기관,전화번호(주차장관리자)
대구광역시,달성초등학교,부설,대구광역시 서구 고성로 127,35.88284967,128.5793587,달성초등학교,053-233-0296
대구광역시,중리초등학교,부설,대구광역시 서구 국채보상로 135,35.86971438,128.5454329,중리초등학교,053-233-0755
대구광역시,서구청,부설,대구광역시 서구 국채보상로 257,35.87233648,128.5592823,서구청,053-663-3013
대구광역시,이현초등학교,부설,대구광역시 서구 국채보상로 37길35,35.87350423,128.5504091,이현초등학교,053-233-1608
대구광역시,경상여자중학교,부설,대구광역시 서구 국채보상로 384,35.87068147,128.5738105,경상여자중학교,053-233-8515
대구광역시,제일고등학교,부설,대구광역시 서구 국채보상로 384,35.87068147,128.5738105,제일고등학교,053-235-6802
대구광역시,폴리텍6대학 대구캠퍼스,부설,대구광역시 서구 국채보상로 43길 15,35.87408689,128.5530599,폴리텍6대학 대구캠퍼스,053-560-3114
대구광역시,대구광역시립서부도서관,부설,대구광역시 서구 국채보상로 49길 12,35.87244275,128.5577549,대구광역시립서부도서관,053-231-2412
대구광역시,서부고등학교,부설,대구광역시 서구 국채보상로 53길 32,35.87364813,128.5601996,서부고등학교,053-231-4543
대구광역시,달서초등학교,부설,대구광역시 서구 국채보상로34길 35,35.86684294,128.5505179,달서초등학교,053-233-1909
대구광역시,중리중학교,부설,대구광역시 서구 국채보상로34길 63,35.86471134,128.5514886,중리중학교,053-233-6263
대구광역시,경덕여자고등학교,부설,대구광역시 서구 국채보상로34길50,35.86356938,128.548934,경덕여자고등학교,053-231-7403
대구광역시,평리초등학교,부설,대구광역시 서구 국채보상로53길 6-5,35.87239896,128.5613425,평리초등학교,053-233-1270
대구광역시,평리중학교,부설,대구광역시 서구 국채보상로55길 21,35.87323623,128.5615478,평리중학교,053-233-6176
대구광역시,달성고등학교,부설,대구광역시 서구 달구벌대로 1725,35.85893406,128.5553459,달성고등학교,053-231-4289
대구광역시,두류초등학교,부설,대구광역시 서구 달구벌대로 357길 22,35.86161678,128.5599155,두류초등학교,053-233-2713
대구광역시,내서초등학교,부설,대구광역시 서구 달구벌대로 371길 35,35.86373839,128.5668398,내서초등학교,053-233-2832
대구광역시,서부초등학교,부설,대구광역시 서구 달서로 26길 25,35.87388164,128.5737118,서부초등학교,053-233-0273
대구광역시,한국전력공사서대구지점,부설,대구광역시 서구 달서로 85,35.8698498,128.5705489,한국전력공사서대구지점,053-550-2215
대구광역시,비봉초등학교,부설,대구광역시 서구 달서로45길 30,35.88278375,128.5686593,비봉초등학교,053-233-2777
대구광역시,경일중학교,부설,대구광역시 서구 달서천로76길 11,35.88139499,128.5763577,경일중학교,053-233-6104
대구광역시,달서천복개도로 노상공영주차장,노상,대구광역시 서구 달서천복개도로 일대,35.87612373,128.5589214,달서천복개도로,053-663-3013
대구광역시,서부공업고등학교,부설,대구광역시 서구 당산로 228,35.85748835,128.548294,서부공업고등학교,053-231-9107
대구광역시,서구 구민운동장,부설,대구광역시 서구 당산로 403,35.87274213,128.5455866,서구 구민운동장,053-663-3081
대구광역시,서남중학교,부설,대구광역시 서구 당산로 41 서길 97,35.87610575,128.5589102,서남중학교,053-233-7831
대구광역시,서구문화회관,부설,대구광역시 서구 당산로 717,35.87612373,128.5589214,서구문화회관,053-663-3091
대구광역시,서구청소년수련관,부설,대구광역시 서구 문화로 122,35.8736259,128.5454819,서구청소년수련관,053-572-2451
대구광역시,서구국민체육센터,부설,대구광역시 서구 문화로 75,35.87612373,128.5589214,서구국민체육센터,053-663-3663
대구광역시,"비산2,3동복개도로 노상공영주차장",노상,대구광역시 서구 비산2.3동복개도로 일대,35.87612373,128.5589214,"비산2,3동복개도로",053-663-3013
대구광역시,인지초등학교,부설,대구광역시 서구 서대구로 66길 20,35.88617922,128.5672881,인지초등학교,053-233-0504
대구광역시,경운중학교,부설,대구광역시 서구 서대구로3길 32,35.85972649,128.5535577,경운중학교,053-233-6083
대구광역시,대구서부교육지원청,부설,대구광역시 서구 서대구로3길 5(내당동),35.85885744,128.5563197,대구서부교육지원청,053-233-0180
대구광역시,서대구중학교,부설,대구광역시 서구 서대구로45길 22,35.87871467,128.552195,서대구중학교,053-233-7845
대구광역시,서평초등학교,부설,대구광역시 서구 서대구로45길 60,35.8782117,128.5478834,서평초등학교,053-233-2381
대구광역시,서대구초등학교,부설,대구광역시 서구 서대구로63길 28-13,35.88971313,128.5575329,서대구초등학교,053-233-1643
대구광역시,비산초등학교,부설,대구광역시 서구 통학로 202,35.87900942,128.5643795,비산초등학교,053-233-1348
대구광역시,북비산초등학교,부설,대구광역시 서구 통학로48길 7,35.8813608,128.5646067,북비산초등학교,053-233-1508
대구광역시,서도초등학교,부설,대구광역시 서구 평리로 395,35.86726962,128.565348,서도초등학교,053-233-1460
대구광역시,경운초등학교,부설,대구광역시 서구 평리로54길 16,35.86088403,128.5527243,경운초등학교,053-233-1706
대구광역시,서구청주변 노상공영주차장,노상,대구광역시 서구청주변도로 일대,35.87612373,128.5589214,서구청주변,053-663-3013
대구광역시,대성초등학교,부설,대구광역시 서구 국채보상로 426,35.870628,128.577262,대성초등학교,053-233-0590
